"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
527,186,"RUS","Russia",27,"Kamchatka","<U+041A><U+0430><U+043C><U+0447><U+0430><U+0442><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kamçatka|Kamchatskaya Oblast","Oblast","Region"
528,186,"RUS","Russia",28,"Karachay-Cherkess","<U+041A><U+0430><U+0440><U+0430><U+0447><U+0430><U+0435><U+0432><U+043E>-<U+0427><U+0435><U+0440><U+043A><U+0435><U+0441><U+0441><U+0438><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K","Respublika","Republic"
529,186,"RUS","Russia",29,"Karelia","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+0440><U+0435><U+043B><U+0438><U+044F>","Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia","Respublika","Republic"
530,186,"RUS","Russia",30,"Kemerovo","<U+041A><U+0435><U+043C><U+0435><U+0440><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kemerovskaya Oblast","Oblast","Region"
531,186,"RUS","Russia",31,"Khabarovsk","<U+0425><U+0430><U+0431><U+0430><U+0440><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Khabarovskiy Kray","Kray","Territory"
532,186,"RUS","Russia",32,"Khakass","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0425><U+0430><U+043A><U+0430><U+0441><U+0438><U+044F>","Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia","Respublika","Republic"
533,186,"RUS","Russia",33,"Khanty-Mansiy","<U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok","Avtonomnyy Okrug","Autonomous Province"
534,186,"RUS","Russia",34,"Kirov","<U+041A><U+0438><U+0440><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vyatka|Vyatskaya G.|Kirovskaya Oblast","Oblast","Region"
535,186,"RUS","Russia",35,"Komi-Permyak","<U+041A><U+043E><U+043C><U+0438>-<U+041F><U+0435><U+0440><U+043C><U+044F><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Komi-Permyatskiy AOk","Avtonomnyy Okrug","Autonomous Province"
536,186,"RUS","Russia",36,"Komi","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+043E><U+043C><U+0438>","Komi A.S.S.R.|Republic of Komi|Respublika Komi","Respublika","Republic"
537,186,"RUS","Russia",37,"Koryak","<U+041A><U+043E><U+0440><U+044F><U+043A><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Koryakia|Koryakskiy AOk","Avtonomnyy Okrug","Autonomous Province"
538,186,"RUS","Russia",38,"Kostroma","<U+041A><U+043E><U+0441><U+0442><U+0440><U+043E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kostromskaya Oblast","Oblast","Region"
539,186,"RUS","Russia",39,"Krasnodar","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+0434><U+0430><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray","Kray","Territory"
540,186,"RUS","Russia",40,"Krasnoyarsk","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+044F><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G.","Kray","Territory"
2484,186,"RUS","Russia",1,"Adygey","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0410><U+0434><U+044B><U+0433><U+0435><U+044F>","Adygea|Adygeya|Adygheya|Republic of Adygeya|Adygeyskaya A.Obl.|Respublika Adygeya","Respublika","Republic"
2485,186,"RUS","Russia",2,"Aga Buryat","<U+0410><U+0433><U+0438><U+043D><U+0441><U+043A><U+0438><U+0439> <U+0411><U+0443><U+0440><U+044F><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Aga-Buryatiya|Agin-Buryat|Agino-Buryatiya|Aginsk A.Okr.|Aginskiy Buryatskiy A.Okr.|Aginskiy Buryatskiy AOk","Avtonomnyy Okrug","Autonomous Province"
2486,186,"RUS","Russia",3,"Altay","<U+0410><U+043B><U+0442><U+0430><U+0439><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Altayskiy Kray","Kray","Territory"
2487,186,"RUS","Russia",4,"Amur","<U+0410><U+043C><U+0443><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Amurskaya Oblast","Oblast","Region"
2488,186,"RUS","Russia",5,"Arkhangel'sk","<U+0410><U+0440><U+0445><U+0430><U+043D><U+0433><U+0435><U+043B><U+044C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Arcangelo|Archangel|Archangelsk|Arkhangelskaya Oblast","Oblast","Region"
2489,186,"RUS","Russia",6,"Astrakhan'","<U+0410><U+0441><U+0442><U+0440><U+0430><U+0445><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Astrachan|Astrakhanskaya Oblast","Oblast","Region"
2490,186,"RUS","Russia",7,"Bashkortostan","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0411><U+0430><U+0448><U+043A><U+043E><U+0440><U+0442><U+043E><U+0441><U+0442><U+0430><U+043D>","Bashkir|Bashkiriya|Bashkirskaya A.S.S.R.|Republic of Bashkortostan|Respublika Bashkortostan","Respublika","Republic"
2491,186,"RUS","Russia",8,"Belgorod","<U+0411><U+0435><U+043B><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Belgorodskaya Oblast","Oblast","Region"
2492,186,"RUS","Russia",9,"Bryansk","<U+0411><U+0440><U+044F><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Bryanskaya Oblast","Oblast","Region"
